Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After,
Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,082.924","1,113.106","1,106.324","1,231.167","1,282.947","1,466.942","1,522.173","1,782.221","1,900.285","1,990.350","2,218.278","2,302.993","2,319.876","2,291.864","2,303.472","2,338.779","2,436.006","2,589.410","2,588.961","2,138.870","2,093.930","2,173.745",n/a,2023,
Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,135.051","2,421.278","2,590.134","2,664.062","2,756.803","2,744.312","2,899.737","2,889.536","2,894.430","3,215.119","2,948.374","2,207.901","2,108.374","2,380.023","2,675.722","2,993.381","3,346.305","3,051.171","3,379.092","3,893.239","4,285.216","4,789.831","5,100.209","5,509.010","5,994.120","6,557.210","7,203.713","7,901.059","8,723.954","9,133.533","9,634.940","10,111.205","10,462.732","10,767.136","11,172.166","11,559.657","12,075.634","12,770.998","13,498.153","14,618.304","14,437.100","16,262.599","18,491.562","20,018.303","21,376.586",2021,
Algeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"4,173.188","4,563.271","4,994.956","5,296.978","5,615.132","5,834.650","5,783.897","5,734.819","5,655.088","6,009.325","6,203.223","6,182.644","6,271.140","6,139.207","6,077.828","6,314.480","6,556.209","6,631.428","6,937.617","7,149.951","7,455.167","7,738.081","8,160.932","8,732.343","9,234.105","9,884.874","10,326.201","10,774.713","11,013.174","10,994.019","11,433.290","11,776.513","12,032.628","12,292.290","12,745.527","12,988.608","13,330.040","13,483.308","13,703.603","13,851.117","12,731.754","14,559.497","15,906.751","16,900.136","17,718.286",2019,
Andorra,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"50,351.539","51,767.771","50,118.602","49,017.199","50,682.410","51,045.855","52,438.820","52,353.114","54,508.563","56,682.724","51,671.809","58,458.650","66,889.776","67,395.980","68,612.275",2023,
Angola,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,510.407","1,538.971","1,591.954","1,679.796","1,797.332","1,703.032","1,738.043","1,807.637","1,933.704","1,956.704","1,908.939","2,139.614","2,359.976","2,597.482","2,839.506","3,095.937","3,391.127","3,579.153","3,666.939","3,679.306","3,753.810","3,870.505","4,321.256","4,407.323","4,868.928","5,531.821","6,152.564","6,885.535","7,495.186","7,413.311","7,610.721","7,749.770","8,249.101","8,476.286","8,699.296","8,532.432","8,168.812","8,013.784","8,284.622","8,578.720","7,832.731","8,869.641","9,568.094","9,673.949","9,801.001",2021,
Antigua and Barbuda,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"3,425.449","3,923.340","4,210.560","4,677.424","5,426.306","6,128.351","7,093.210","7,887.494","8,721.335","9,627.261","10,298.445","10,790.348","10,984.248","11,576.621","12,294.397","11,688.965","12,346.657","12,882.321","13,280.522","13,630.748","14,497.861","13,912.847","14,131.021","15,140.058","16,280.935","17,697.314","20,345.765","22,597.388","22,771.223","19,938.947","18,379.632","18,154.143","18,844.398","18,773.037","19,232.748","19,395.123","20,071.823","20,616.240","23,420.494","25,082.283","20,932.990","23,875.701","27,614.420","29,422.925","31,473.728",2022,
Argentina,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"7,178.033","7,275.709","7,357.925","7,820.670","8,126.533","7,669.666","8,276.804","8,598.489","8,622.161","8,230.439","8,250.735","9,299.495","10,349.777","11,092.261","11,837.542","11,598.011","12,315.594","13,388.591","13,903.767","13,475.982","13,529.290","13,091.488","11,733.021","12,914.244","14,308.616","15,911.199","17,549.655","19,456.170","20,433.475","19,155.300","21,008.870","22,469.136","22,396.505","23,065.977","22,627.919","23,210.096","22,701.938","23,514.667","24,498.379","23,535.013","22,302.151","26,015.237","29,068.299","29,335.855","28,704.096",2010,
Armenia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,812.911","1,632.917","1,800.591","2,029.185","2,207.428","2,343.736","2,543.006","2,677.970","2,908.326","3,276.649","3,832.809","4,472.366","5,090.337","6,030.714","7,060.631","8,276.590","9,052.415","7,845.766","8,125.805","8,678.444","9,464.282","9,920.372","10,438.908","10,859.605","10,976.020","12,065.632","12,877.363","14,974.555","14,706.317","15,921.705","19,414.998","21,532.119","23,376.226",2020,
Aruba,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,"11,187.350","13,459.037","16,437.469","18,760.352","19,465.331","20,932.496","21,897.004","22,525.571","23,640.184","24,055.044","23,842.355","24,969.168","25,126.093","25,483.038","27,775.228","29,312.905","29,283.693","29,851.565","32,195.255","32,231.958","33,002.045","34,683.800","35,727.164","31,534.686","30,974.164","32,438.671","32,221.701","34,361.014","34,040.116","33,794.213","34,439.965","37,524.982","39,287.129","39,110.415","29,876.108","37,813.246","44,908.490","48,967.953","52,944.990",2021,
Australia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"10,277.787","11,529.563","12,049.620","12,305.539","13,391.167","14,363.825","14,790.170","15,650.118","16,595.129","17,779.399","18,466.456","18,676.717","19,397.085","20,447.660","21,687.874","22,510.379","23,563.574","24,848.687","26,034.572","27,258.342","28,405.206","29,424.446","30,777.881","31,972.501","33,806.141","35,450.928","36,930.167","38,847.793","39,747.859","40,056.322","40,951.336","42,291.726","43,921.566","44,939.863","46,227.137","47,068.446","48,006.646","49,291.760","51,307.076","53,598.066","53,890.665","60,422.561","65,873.491","67,900.529","69,475.413",2022,
