Country,Year,Emissions,GDP_per_capita,Renewable_Share,Energy_per_capita,Population,Emissions_per_GDP,Emissions_per_capita,Global_Temperature
China,1970,2035.0966345133,,3.0095923,2871.2454,,,,0.0258
China,1971,2088.1108498926,,3.0704048,3320.4941,,,,-0.0808
China,1972,2163.6981185997,,3.227597,3498.7197,,,,0.0083
China,1973,2205.6648241606,,3.417015,3614.6829,,,,0.16
China,1974,2227.9153571195,,3.7493546,3654.5251,,,,-0.0708
China,1975,2409.9806013792,,3.503824,4021.7922,,,,-0.0133
China,1976,2470.7514655646,,3.3725686,4169.278,,,,-0.0992
China,1977,2639.7120369479,,3.2287142,4482.533,,,,0.1775
China,1978,2826.9626694746,,2.7594638,4849.5903,,,,0.0683
China,1979,2868.9423582888,,3.008899,4928.0503,,,,0.1658
China,1980,2843.2881997559,274.623,3.566198,4914.158,981235000.0,,,0.2558
China,1981,2808.234267818,311.621,4.066497,4776.941,993885000.0,,,0.3225
China,1982,2889.1444433112,355.043,4.4212723,4910.6587,1008630000.0,,,0.1367
China,1983,2998.797431939,403.419,4.8234906,5147.26,1023310000.0,,,0.3117
China,1984,3181.0933063203,475.288,4.515455,5444.6426,1036825000.0,,,0.155
China,1985,3187.6011272246,548.661,4.441829,5800.9233,1051040000.0,,,0.1158
China,1986,3322.8422773005,600.133,4.3385277,5979.108,1066790000.0,,,0.18
China,1987,3502.5359316812,675.691,4.2555475,6336.5337,1084035000.0,,,0.3192
China,1988,3687.8822082878,765.774,4.3230724,6691.621,1101630000.0,,,0.3858
China,1989,3806.1678877472,816.88,4.4680266,6907.9116,1118650000.0,,,0.2717
China,1990,3876.3877743805,867.858,4.723668,6880.6626,1135185000.0,2.0751134703403,3.3062286446164,0.445
China,1991,4011.1592752804,965.342,4.4247785,7122.351,1150780000.0,1.9652249596457,3.3730463641168,0.4033
China,1992,4130.2262398851,1115.328,4.4127026,7411.3945,1164970000.0,1.7715639222121,3.4304204650209,0.22
China,1993,4332.0553842382,1285.465,4.75786,7908.6753,1178440000.0,1.6316060454298,3.5592380306444,0.23
China,1994,4518.7825893655,1467.465,4.952474,8323.468,1191835000.0,1.5056459917852,3.6768261656852,0.3133
China,1995,4932.4232426391,1645.122,5.5538197,8498.712,1204855000.0,1.4812179837603,3.9779531611523,0.4442
China,1996,4948.0219112236,1822.365,5.1431327,8880.126,1217550000.0,1.3517719597469,3.9584808646727,0.3283
China,1997,4975.088723659,2004.951,5.361735,8871.482,1230075000.0,1.2442388572117,3.9513996232608,0.4633
China,1998,5071.2448222095,2166.873,5.4277787,8822.785,1241935000.0,1.1760171620012,4.0011715128207,0.605
China,1999,5019.6593117036,2347.032,5.1882854,9069.433,1252735000.0,1.0812155598505,3.9357220907031,0.38
China,2000,5242.7358101886,2583.885,5.656926,9334.936,1262645000.0,1.0408926338959,4.0856731687879,0.3917
